Input Mass,Matched Mass,Formula,Ion,"delta(ppm),",LIPID MAPS,LC-MS/MS
421.2709,421.2725,C21H43O6P,[M-H]-,3.798016723,LPA O-18:1,NA
433.2353,433.2361,C21H39O7P,[M-H]-,1.846568188,LPA 18:2,NA
435.2502,435.2517,C21H41O7P,[M-H]-,3.446281772,LPA 18:1,NA
436.283,436.2834,C21H44NO6P,[M-H]-,0.91683525,LPE O-16:1,LPE(P-16:0)
437.2657,437.2674,C21H43O7P,[M-H]-,3.887781252,LPA 18:0,NA
450.2604,450.2626,C21H42NO7P,[M-H]-,4.886037615,LPE 16:1,LPE(16:1)
452.2775,452.2783,C21H44NO7P,[M-H]-,1.768822426,LPE 16:0/LPE O-16:1;O,LPE(16:0/0:0)/LPE(0:0/16:0)
457.2343,457.2361,C23H39O7P,[M-H]-,3.936697037,LPA 20:4,LPA(20:4)
459.2483,459.2517,C23H41O7P,[M-H]-,7.403347663,LPA 20:3,NA
461.2665,461.2674,C23H43O7P,[M-H]-,1.951145908,LPA 20:2,NA
463.282,463.283,C23H45O7P,[M-H]-,2.158507867,LPA 20:1,NA
464.314,464.3147,C23H48NO6P,[M-H]-,1.507598187,LPE O-18:1,LPE(P-18:0)
476.2776,476.2783,C23H44NO7P,[M-H]-,1.469728938,LPE 18:2,LPE(18:2/0:0)/LPE(0:0/18:2)
478.2942,478.2939,C23H46NO7P,[M-H]-,0.627229408,LPE 18:1,LPE(0:0/18:1)/LPE(18:1/0:0)
479.2757,479.2779,C23H45O8P,[M-H]-,4.590238774,PA 20:0,NA
480.3096,480.3096,C23H48NO7P,[M-H]-,0,LPE 18:0/LPE O-18:1;O,LPE(18:0/0:0)/LPE(0:0/18:0)
485.2654,485.2674,C25H43O7P,[M-H]-,4.121439025,LPA 22:4,NA
500.279,500.2783,C25H44NO7P,[M-H]-,1.399221193,LPE 20:4,LPE(20:4)
502.2891,502.2939,C25H46NO7P,[M-H]-,9.556158257,LPE 20:3,LPE(0:0/20:3)
504.3073,504.3096,C25H48NO7P,[M-H]-,4.560690496,LPE 20:2,LPE(0:0/20:2)/LPE(20:2/0:0)
506.3236,506.3252,C25H50NO7P,[M-H]-,3.160024427,LPE 20:1,LPE(0:0/20:1)/LPE(20:1/0:0)
508.3402,508.3409,C25H52NO7P,[M-H]-,1.377028683,LPE 20:0,LPE(20:0)
522.3176,522.3201,C25H50NO8P,[M-H]-,4.786336961,PE 20:0,NA
524.2774,524.2783,C27H44NO7P,[M-H]-,1.71664553,LPE 22:6,LPE(22:6)
526.2892,526.2939,C27H46NO7P,[M-H]-,8.930371414,LPE 22:5,LPE(0:0/22:5)/LPE(22:5/0:0)
528.3087,528.3096,C27H48NO7P,[M-H]-,1.703546557,LPE 22:4,LPE(22:4)
532.3392,532.3409,C27H52NO7P,[M-H]-,3.193442398,LPE 22:2,LPE(22:2)
555.2957,555.294,C25H49O11P,[M-H]-,3.061441327,LPI O-16:1,NA
557.3068,557.3096,C25H51O11P,[M-H]-,5.024137392,LPI O-16:0,NA
583.3257,583.3253,C27H53O11P,[M-H]-,0.685723729,LPI O-18:1,NA
597.3037,597.3045,C27H51O12P,[M-H]-,1.339350365,LPI 18:1,LPI(18:1)
599.32,599.3202,C27H53O12P,[M-H]-,0.333711428,LPI 18:0,NA
603.2886,603.294,C29H49O11P,[M-H]-,8.95085978,PA 26:4;O3,NA
619.4709,619.4708,C34H69O7P,[M-H]-,0.161428109,PA O-31:0,NA
630.4102,630.414,C33H62NO8P,[M-H]-,6.027784916,PE 28:2,NA
645.4487,645.4501,C35H67O8P,[M-H]-,2.169029023,PA 32:1,NA
647.4656,647.4657,C35H69O8P,[M-H]-,0.154448336,PA 32:0,NA
661.4806,661.4814,C36H71O8P,[M-H]-,1.209406644,PA 33:0,NA
671.4642,671.4657,C37H69O8P,[M-H]-,2.233919022,PA 34:2,NA
673.4816,673.4814,C37H71O8P,[M-H]-,0.2969644,PA 34:1,NA
675.4915,675.497,C37H73O8P,[M-H]-,8.142153111,PA 34:0,NA
693.4441,693.4501,C39H67O8P,[M-H]-,8.652388975,PA 36:5,NA
695.4649,695.4657,C39H69O8P,[M-H]-,1.150308347,PA 36:4,PA(16:0_20:4)/PA(18:2_18:2)
697.4777,697.4814,C39H71O8P,[M-H]-,5.30480096,PA 36:3,NA
699.4964,699.497,C39H73O8P,[M-H]-,0.857759218,PA 36:2,PA(16:0_20:2)
700.4133,700.4195,C36H64NO10P,[M-H]-,8.851838077,PS 30:3,NA
701.5103,701.5127,C39H75O8P,[M-H]-,3.421178262,PA 36:1,PA(16:0_20:1)/PA(20:0_16:1)
709.3866,709.3934,C34H63O13P,[M-H]-,9.585654448,PG 28:2;O3,NA
710.4834,710.4766,C39H70NO8P,[M-H]-,9.57104006,PE 34:4,PE(16:2_18:2)/PE(18:3_16:1)/PE(20:4_14:0)
713.4166,713.4188,C41H63O8P,[M-H]-,3.083742677,PA 38:9,NA
714.509,714.5079,C39H74NO8P,[M-H]-,1.539521117,PE 34:2,PE(18:1_16:1)/PE(18:2_16:0)
716.5232,716.5236,C39H76NO8P,[M-H]-,0.558250977,PE 34:1,LNAPE(16:0/N-18:1)/PE(16:1_18:0)/PE(16:0_18:1)
717.5808,717.5804,C41H83O7P,[M-H]-,0.557428826,PA O-38:0,NA
718.5394,718.5392,C39H78NO8P,[M-H]-,0.278342504,PE 34:0,PE(16:0_18:0)
719.4633,719.4657,C41H69O8P,[M-H]-,3.335808781,PA 38:6,PA(16:1_22:5)/PA(18:1_20:5)
721.4807,721.4814,C41H71O8P,[M-H]-,0.970225982,PA 38:5,PA(16:0_22:5)
722.5131,722.513,C41H74NO7P,[M-H]-,0.138405814,PE O-36:5,PE(O-20:5_16:0)/PE(O-18:3_18:2)/PE(O-16:1_20:4)/PE(P-18:2_18:2)/PE(P-16:0_20:4)
723.4964,723.497,C41H73O8P,[M-H]-,0.829305443,PA 38:4,PA(18:0_20:4)
724.5245,724.5287,C41H76NO7P,[M-H]-,5.796871815,PE O-36:4,PE(O-18:2_18:2)/PE(O-18:3_18:1)/PE(O-16:1_20:3)/PE(O-16:0_20:4)/PE(P-18:1_18:2)/PE(P-18:2_18:1)/PE(P-16:0_20:3)
725.5069,725.5127,C41H75O8P,[M-H]-,7.994346619,PA 38:3,PA(20:1_18:2)/PA(18:0_20:3)/PA(18:1_20:2)
726.5415,726.5443,C41H78NO7P,[M-H]-,3.853859978,PE O-36:3,PE(O-16:0_20:3)/PE(O-18:1_18:2)/PE(P-16:0_20:2)/PE(P-18:0_18:2)
727.5266,727.5283,C41H77O8P,[M-H]-,2.336678862,PA 38:2,PA(16:0_22:2)/PA(18:1_20:1)
729.541,729.544,C41H79O8P,[M-H]-,4.112157731,PA 38:1,NA
736.4899,736.4923,C41H72NO8P,[M-H]-,3.258689874,PE 36:5,PE(16:1_20:4)/PE(18:2_18:3)/PE(16:0_20:5)
738.507,738.5079,C41H74NO8P,[M-H]-,1.21867349,PE 36:4/PE O-36:5;O,LNAPE(18:2/N-18:2)/PE(18:3_18:1)/PE(16:0_20:4)/PE(18:2_18:2)
740.5185,740.5236,C41H76NO8P,[M-H]-,6.887018861,PE 36:3,LNAPE(18:1/N-18:2)/PE(18:0_18:3)/PE(18:1_18:2)
742.5391,742.5392,C41H78NO8P,[M-H]-,0.134673025,PE 36:2,PE(20:2_16:0)/PE(18:0_18:2)/PE(18:1_18:1)
744.5541,744.5549,C41H80NO8P,[M-H]-,1.074467444,PE 36:1,PE(18:1_18:0)/PE(20:1_16:0)
745.4817,745.4814,C43H71O8P,[M-H]-,0.402424527,PA 40:7,PA(18:2_22:5)/PA(18:1_22:6)
746.5111,746.513,C43H74NO7P,[M-H]-,2.545166662,PE O-38:7,PE(O-16:1_22:6)/PE(P-16:0_22:6)/PE(P-18:2_20:4)/PE(P-18:1_20:5)
746.5671,746.5705,C41H82NO8P,[M-H]-,4.55415798,PE 36:0,PE(18:0_18:0)
747.4972,747.497,C43H73O8P,[M-H]-,0.267559602,PA 40:6,PA(20:2_20:4)/PA(20:1_20:5)/PA(18:0_22:6)
748.5257,748.5287,C43H76NO7P,[M-H]-,4.007862357,PE O-38:6,PE(O-16:1_22:5)/PE(O-16:0_22:6)/PE(O-18:2_20:4)/PE(P-18:1_20:4)/PE(P-16:0_22:5)/PE(P-18:0_20:5)
749.5069,749.5127,C43H75O8P,[M-H]-,7.738361205,PA 40:5,PA(18:0_22:5)/PA(20:1_20:4)
749.5294,749.5338,C40H79O10P,[M-H]-,5.870315655,PG 34:0,PG(18:0_16:0)
750.5419,750.5443,C43H78NO7P,[M-H]-,3.197679337,PE O-38:5,PE(O-18:1_20:4)/PE(P-18:0_20:4)/PE(P-18:2_20:2)/PE(P-20:3_18:1)/PE(P-18:1_20:3)/PE(P-16:0_22:4)
751.5258,751.5283,C43H77O8P,[M-H]-,3.326554702,PA 40:4,PA(20:1_20:3)/PA(18:0_22:4)
752.5561,752.56,C43H80NO7P,[M-H]-,5.182311045,PE O-38:4,PE(O-18:2_20:2)/PE(O-18:1_20:3)/PE(O-18:0_20:4)/PE(P-18:0_20:3)/PE(P-16:0_22:3)/PE(P-20:1_18:2)/PE(P-18:1_20:2)/PE(P-16:1_22:2)
760.511,760.5134,C40H76NO10P,[M-H]-,3.155762936,PS 34:1,PS(16:0_18:1)
762.5099,762.5079,C43H74NO8P,[M-H]-,2.622923645,PE 38:6/PE O-38:7;O,LNAPE(20:5/N-18:1)/LNAPE(20:4/N-18:2)/PE(22:6_16:0)/PE(20:5_18:1)
764.5218,764.5236,C43H76NO8P,[M-H]-,2.354407372,PE 38:5/PE O-38:6;O,PE(18:2_20:3)/PE(18:0_20:5)/PE(18:1_20:4)/PE(16:0_22:5)
766.539,766.5392,C43H78NO8P,[M-H]-,0.260912945,PE 38:4/PE O-38:5;O,PE(18:2_20:2)/PE(16:0_22:4)/PE(18:1_20:3)/PE(20:4_18:0)
768.5499,768.5549,C43H80NO8P,[M-H]-,6.505716117,PE 38:3,PE(18:1_20:2)/PE(20:1_18:2)/PE(20:3_18:0)
769.4997,769.5025,C42H75O10P,[M-H]-,3.638714624,PG 36:4,PG(16:1_20:3)/PG(16:0_20:4)/PG(18:2_18:2)
770.5662,770.5705,C43H82NO8P,[M-H]-,5.580281103,PE 38:2,PE(20:1_18:1)/PE(20:0_18:2)/PE(20:2_18:0)
771.5145,771.5182,C42H77O10P,[M-H]-,4.795739102,PG 36:3,PG(18:2_18:1)
772.5259,772.5287,C45H76NO7P,[M-H]-,3.624460813,PE O-40:8,PE(O-18:2_22:6)/PE(P-18:1_22:6)
772.5838,772.5862,C43H84NO8P,[M-H]-,3.106449481,PE 38:1,PE(20:0_18:1)/PE(20:1_18:0)
773.5308,773.5338,C42H79O10P,[M-H]-,3.878304995,PG 36:2,PG(16:0_20:2)/PG(18:1_18:1)/PG(18:0_18:2)
774.5409,774.5443,C45H78NO7P,[M-H]-,4.389677905,PE O-40:7,PE(O-18:3_22:4)/PE(O-18:2_22:5)/PE(O-20:3_20:4)/PE(O-18:1_22:6)/PE(P-18:0_22:6)/PE(P-16:0_24:6)/PE(P-18:1_22:5)
775.5485,775.5495,C42H81O10P,[M-H]-,1.289408349,PG 36:1,PG(16:0_20:1)/PG(18:0_18:1)
776.5574,776.56,C45H80NO7P,[M-H]-,3.34809931,PE O-40:6,PE(O-20:1_20:5)/PE(O-18:1_22:5)/PE(O-18:0_22:6)/PE(P-18:0_22:5)/PE(P-16:0_24:5)/PE(P-18:1_22:4)
777.5598,777.5651,C42H83O10P,[M-H]-,6.816149542,PG 36:0,PG(18:0_18:0)/PG(16:0_20:0)
778.5712,778.5756,C45H82NO7P,[M-H]-,5.651345868,PE O-40:5,PE(O-16:1_24:4)/PE(O-20:1_20:4)/PE(O-18:1_22:4)/PE(P-18:0_22:4)/PE(P-18:1_22:3)/PE(P-16:0_24:4)
782.4973,782.4978,C42H74NO10P,[M-H]-,0.638979432,PS 36:4,PS(16:0_20:4)
782.5325,782.5342,C43H78NO9P,[M-H]-,2.172429013,PE 38:4;O,NA
786.5297,786.5291,C42H78NO10P,[M-H]-,0.762845265,PS 36:2,PS(18:0_18:2)
790.5394,790.5392,C45H78NO8P,[M-H]-,0.252991882,PE 40:6/PE O-40:7;O,LNAPE(22:4/N-18:2)/PE(20:2_20:4)/PE(18:1_22:5)/PE(22:6_18:0)
792.5499,792.5549,C45H80NO8P,[M-H]-,6.308711232,PE 40:5,PE(20:1_20:4)/PE(18:0_22:5)
794.5695,794.5705,C45H82NO8P,[M-H]-,1.258541564,PE 40:4,PE(20:4_20:0)/PE(18:0_22:4)
796.5783,796.5862,C45H84NO8P,[M-H]-,9.917319682,PE 40:3,PE(18:2_22:1)
