fid,qq,var,outliers
1,problem,ok,ok
2,ok,ok,ok
3,ok,ok,ok
4,ok,ok,ok
5,ok,ok,ok
6,ok,ok,ok
7,problem,ok,ok
8,ok,ok,ok
9,ok,ok,ok
10,ok,ok,ok
11,ok,ok,ok
12,ok,ok,ok
13,ok,ok,ok
14,problem,ok,ok
15,ok,ok,ok
16,ok,ok,ok
17,problem,ok,ok
18,ok,ok,ok
19,problem,problem,problem
20,ok,ok,ok
21,ok,ok,ok
22,problem,ok,ok
23,problem,ok,ok
24,problem,ok,ok
25,ok,ok,ok
26,ok,ok,ok
27,ok,ok,ok
28,problem,ok,ok
29,ok,ok,ok
30,ok,ok,ok
31,ok,ok,ok
32,ok,ok,ok
33,ok,ok,ok
34,ok,ok,ok
35,ok,ok,ok
36,ok,ok,ok
37,ok,ok,ok
38,problem,ok,ok
39,problem,ok,ok
40,ok,ok,ok
41,ok,ok,ok
42,ok,ok,ok
43,ok,ok,ok
44,ok,ok,ok
45,problem,ok,ok
46,ok,ok,ok
47,ok,ok,ok
48,problem,ok,ok
49,problem,problem,problem
50,ok,ok,ok
51,ok,ok,ok
52,ok,ok,ok
53,ok,ok,ok
54,problem,ok,problem
55,ok,ok,ok
56,problem,ok,ok
57,ok,ok,ok
58,problem,ok,problem
59,problem,ok,problem
60,problem,ok,problem
61,ok,ok,ok
62,ok,ok,ok
63,ok,ok,ok
64,ok,ok,ok
65,ok,ok,ok
66,ok,ok,ok
67,problem,ok,ok
68,problem,ok,ok
69,problem,ok,ok
70,problem,ok,ok
71,ok,ok,ok
72,problem,ok,ok
73,problem,ok,ok
74,problem,ok,ok
75,ok,ok,ok
76,ok,ok,ok
77,ok,ok,ok
78,ok,ok,ok
79,ok,ok,ok
80,problem,problem,ok
81,problem,problem,ok
82,ok,ok,ok
83,problem,ok,ok
84,problem,ok,ok
85,problem,ok,ok
86,problem,ok,ok
87,problem,ok,ok
88,ok,ok,ok
89,problem,problem,ok
90,ok,ok,ok
91,ok,ok,ok
92,ok,ok,ok
93,ok,problem,ok
94,ok,problem,ok
95,ok,ok,ok
96,ok,ok,ok
97,problem,ok,ok
98,ok,ok,ok
99,ok,ok,ok
100,ok,ok,ok
101,ok,ok,ok
102,ok,ok,ok
103,ok,ok,ok
104,problem,ok,ok
105,ok,ok,ok
106,problem,ok,ok
107,problem,ok,ok
108,ok,ok,ok
109,ok,ok,ok
110,problem,ok,ok
111,ok,ok,ok
112,ok,ok,ok
113,ok,ok,ok
114,problem,ok,ok
115,problem,ok,ok
116,ok,ok,problem
117,ok,ok,ok
