"fid","mz","qq","var","outliers"
1,1109.57471314624,"problem","ok","ok"
2,1126.51873106514,"ok","ok","ok"
3,1141.52400463383,"ok","ok","ok"
4,1156.52434176567,"ok","ok","ok"
5,1163.55410537351,"ok","ok","ok"
6,1164.49165874294,"ok","ok","ok"
7,1172.52347739277,"problem","ok","ok"
8,1179.5387675546,"ok","ok","ok"
9,1180.54221104684,"ok","ok","ok"
10,1222.52867990286,"ok","ok","ok"
11,1302.65430470385,"ok","ok","ok"
12,1324.6173532378,"ok","ok","ok"
13,1325.61628989619,"ok","ok","ok"
14,1326.61653398307,"problem","ok","ok"
15,1340.60163520514,"ok","ok","ok"
16,1341.59718235381,"ok","ok","ok"
17,1343.66969717557,"problem","ok","ok"
18,1350.62280704538,"ok","ok","ok"
19,1351.6171065375,"problem","problem","problem"
20,1352.61408159023,"ok","ok","ok"
21,1353.60603739255,"ok","ok","ok"
22,1364.5837162182,"problem","ok","ok"
23,1365.58969452237,"problem","ok","ok"
24,1365.65133459461,"problem","ok","ok"
25,1366.57724927285,"ok","ok","ok"
26,1366.65025864689,"ok","ok","ok"
27,1381.62007542217,"problem","ok","ok"
28,1382.6259996687,"ok","ok","ok"
29,1383.6306782827,"ok","ok","ok"
30,1384.63455585018,"ok","ok","ok"
31,1385.62453834741,"ok","ok","ok"
32,1386.63407704909,"ok","ok","ok"
33,1388.60638591292,"ok","ok","ok"
34,1389.60401439034,"ok","ok","ok"
35,1390.60243048236,"ok","ok","ok"
36,1391.59716333721,"ok","ok","ok"
37,1397.62268993192,"problem","ok","ok"
38,1398.63677099307,"problem","ok","ok"
39,1399.6361333443,"ok","ok","ok"
40,1404.61587378566,"ok","ok","ok"
41,1405.60829642087,"ok","ok","ok"
42,1409.64568600367,"ok","ok","ok"
43,1410.654351737,"ok","ok","ok"
44,1413.61788453019,"problem","ok","ok"
45,1426.66085171987,"ok","ok","ok"
46,1429.66413487672,"ok","ok","ok"
47,1431.63085583895,"problem","ok","ok"
48,1432.64182443449,"problem","problem","problem"
49,1438.67639496439,"ok","ok","ok"
50,1440.63759375858,"ok","ok","ok"
51,1441.64484548553,"ok","ok","ok"
52,1442.63299122583,"ok","ok","ok"
53,1443.62283372265,"problem","ok","problem"
54,1444.64326448286,"ok","ok","ok"
55,1445.64194896739,"problem","ok","ok"
56,1448.64658468886,"ok","ok","ok"
57,1450.6402729777,"problem","ok","problem"
58,1452.65082787141,"problem","ok","problem"
59,1453.64761823292,"problem","ok","problem"
60,1454.64503559344,"ok","ok","ok"
61,1455.64083865637,"ok","ok","ok"
62,1456.64007944943,"ok","ok","ok"
63,1460.62283046919,"ok","ok","ok"
64,1460.68876880875,"ok","ok","ok"
65,1464.62176637058,"ok","ok","ok"
66,1466.64174902151,"problem","ok","ok"
67,1467.63684839094,"problem","ok","ok"
68,1468.64068653437,"problem","ok","ok"
69,1469.63837937131,"problem","ok","ok"
70,1470.63426954056,"ok","ok","ok"
71,1476.63495121037,"problem","ok","ok"
72,1478.64221855614,"problem","ok","ok"
73,1479.64512620283,"problem","ok","ok"
74,1482.68077713452,"ok","ok","ok"
75,1483.7190553723,"ok","ok","ok"
76,1487.63750174798,"ok","ok","ok"
77,1488.61713431232,"ok","ok","ok"
78,1489.67860067094,"ok","ok","ok"
79,1490.62270051576,"problem","problem","ok"
80,1496.69400109237,"problem","problem","ok"
81,1498.64121865772,"ok","ok","ok"
82,1499.66035413545,"problem","ok","ok"
83,1500.63619263784,"problem","ok","ok"
84,1503.63324045192,"problem","ok","ok"
85,1504.65739413955,"problem","ok","ok"
86,1505.6815325091,"problem","ok","ok"
87,1507.6703072408,"ok","ok","ok"
88,1509.71684459288,"problem","problem","ok"
89,1512.67998417309,"ok","ok","ok"
90,1513.66440598436,"ok","ok","ok"
91,1520.64763738313,"ok","ok","ok"
92,1521.66811253983,"ok","problem","ok"
93,1522.66918428436,"ok","problem","ok"
94,1523.66721461063,"ok","ok","ok"
95,1525.66825077416,"ok","ok","ok"
96,1526.6558274562,"problem","ok","ok"
97,1527.66447811929,"ok","ok","ok"
98,1528.66212361704,"ok","ok","ok"
99,1530.68806132454,"ok","ok","ok"
100,1531.68735689399,"ok","ok","ok"
101,1533.67152237269,"ok","ok","ok"
102,1534.66293075339,"ok","ok","ok"
103,1543.66987126832,"problem","ok","ok"
104,1544.67389168258,"ok","ok","ok"
105,1546.66706429692,"problem","ok","ok"
106,1552.69293486565,"ok","ok","ok"
107,1553.69005545299,"ok","ok","ok"
108,1554.68494154537,"problem","ok","ok"
109,1555.67999812959,"ok","ok","ok"
110,1559.65357242947,"ok","ok","ok"
111,1560.65001840082,"ok","ok","ok"
112,1566.67508357011,"problem","ok","ok"
113,1567.70496587442,"problem","ok","ok"
114,1568.66868560083,"ok","ok","problem"
115,1569.67642061313,"ok","ok","ok"
116,1573.68312853459,"ok","ok","ok"
117,1574.68813058946,"problem","problem","ok"
118,1582.67013363383,"ok","ok","ok"
119,1583.681117736,"ok","ok","ok"
120,1584.68514973761,"ok","ok","ok"
121,1585.6855590131,"ok","ok","ok"
122,1590.6731188195,"problem","ok","ok"
123,1591.69861900824,"problem","ok","ok"
124,1592.74494540474,"problem","ok","ok"
125,1596.7484570622,"ok","ok","ok"
126,1597.6994733889,"ok","ok","ok"
127,1598.6885986751,"ok","ok","ok"
128,1599.70910055197,"ok","ok","ok"
129,1600.71371607002,"ok","ok","ok"
130,1601.69198923451,"ok","ok","ok"
131,1602.69788802264,"ok","ok","ok"
132,1603.69449817554,"ok","ok","ok"
133,1604.68595699025,"ok","ok","ok"
134,1605.68580332983,"ok","ok","ok"
135,1606.68439513595,"ok","ok","ok"
136,1607.69040597655,"ok","ok","ok"
137,1609.71217863629,"ok","ok","ok"
138,1612.7544942309,"problem","ok","ok"
139,1613.76263984735,"ok","ok","ok"
140,1616.73395742769,"problem","ok","ok"
141,1617.70201413135,"ok","ok","ok"
142,1618.69980869484,"ok","ok","ok"
143,1619.69922071716,"problem","ok","ok"
144,1624.75082889851,"problem","problem","problem"
145,1625.73635821319,"ok","ok","ok"
146,1626.72297144283,"ok","ok","ok"
147,1627.70602879146,"ok","ok","ok"
148,1628.69565507322,"ok","ok","ok"
149,1629.69947253144,"problem","ok","ok"
150,1631.7340755822,"problem","ok","ok"
151,1633.72528819855,"problem","ok","ok"
152,1634.73055874367,"problem","ok","ok"
153,1635.73545291142,"problem","ok","ok"
154,1636.70611167789,"ok","ok","ok"
155,1637.74956032182,"ok","ok","ok"
156,1638.73746405352,"ok","ok","ok"
157,1639.71747477286,"ok","ok","ok"
158,1640.71267230663,"ok","ok","ok"
159,1641.71054372533,"ok","ok","ok"
160,1642.71606048912,"ok","ok","ok"
161,1643.71593564566,"ok","ok","ok"
162,1644.71807982828,"ok","ok","ok"
163,1645.72193794505,"ok","ok","ok"
164,1646.72099457389,"ok","ok","ok"
165,1647.73286507082,"problem","ok","ok"
