feature_id,mz,qq_normality,residual_variance,outliers
1,1126.517391,Serious,OK,OK
2,1143.52641,OK,Serious,OK
3,1302.632949,Serious,OK,OK
4,1304.60739,Serious,Serious,Serious
5,1325.599925,OK,OK,Serious
6,1343.650251,Serious,Serious,OK
7,1366.620412,OK,OK,OK
8,1367.615874,OK,OK,OK
9,1381.628118,OK,OK,OK
10,1388.603907,Borderline,Serious,Borderline
11,1389.597637,Serious,OK,OK
12,1406.66678,Borderline,Serious,OK
13,1426.654083,Serious,Serious,Serious
14,1428.645668,OK,OK,OK
15,1429.643985,Borderline,OK,OK
16,1430.638804,Serious,Serious,Serious
17,1437.630832,OK,OK,OK
18,1438.659727,OK,OK,OK
19,1483.707277,OK,OK,Serious
20,1485.679287,Serious,OK,OK
21,1495.687032,Serious,OK,OK
22,1496.682257,OK,Borderline,OK
23,1504.649658,OK,OK,OK
24,1505.672812,OK,OK,OK
25,1521.686095,Serious,OK,OK
26,1531.678654,Borderline,OK,OK
27,1544.672716,OK,OK,Serious
28,1545.660091,Borderline,Serious,OK
29,1546.663198,OK,OK,OK
30,1590.691832,Serious,Serious,OK
31,1591.690176,Serious,OK,Serious
32,1595.696102,OK,OK,Serious
33,1596.69958,Borderline,OK,OK
34,1609.722863,OK,OK,Serious
35,1613.713075,OK,OK,OK
36,1614.683984,OK,OK,OK
37,1615.68634,OK,OK,OK
38,1635.708434,OK,OK,OK
39,1637.719492,OK,OK,OK
40,1638.71326,OK,OK,Serious
41,1652.706306,OK,OK,Serious
42,1654.70201,Borderline,OK,OK
43,1655.719856,Serious,Serious,Serious
44,1656.72635,Serious,OK,OK
45,1657.728224,OK,OK,Serious
46,1658.722209,Serious,Serious,Serious
47,1666.780117,OK,OK,Serious
48,1668.749052,OK,OK,Serious
49,1675.761405,Borderline,OK,OK
50,1676.742273,Serious,Serious,Serious
51,1677.727755,Borderline,OK,Serious
52,1681.793668,Serious,Serious,Serious
53,1683.779458,OK,OK,Serious
54,1684.752526,Borderline,Serious,Borderline
55,1685.735266,OK,OK,OK
56,1692.739905,Borderline,Borderline,OK
57,1693.768961,Serious,Serious,Serious
58,1696.770742,Serious,OK,Serious
59,1697.80111,OK,OK,Serious
60,1707.748361,OK,OK,OK
61,1708.761515,Serious,OK,OK
62,1709.768829,OK,OK,Serious
63,1714.741267,Serious,OK,OK
64,1715.750603,Serious,OK,OK
65,1721.769437,Serious,OK,OK
66,1722.7521,Serious,OK,OK
67,1723.744489,Borderline,OK,OK
68,1730.748168,OK,Borderline,OK
69,1731.746057,Borderline,Borderline,OK
70,1732.746654,Serious,OK,OK
71,1736.761445,OK,OK,Borderline
72,1737.756103,Serious,Borderline,OK
73,1738.75278,OK,OK,OK
74,1788.787448,Serious,Serious,OK
75,1789.794255,Serious,OK,OK
76,1790.787745,OK,OK,OK
77,1799.788469,OK,OK,OK
78,1832.825949,OK,OK,OK
79,1833.813934,,,
80,1838.824643,Borderline,OK,Borderline
81,1839.824358,OK,OK,OK
82,1856.860654,Serious,OK,OK
83,1857.851299,OK,OK,OK
84,1858.839164,OK,OK,Serious
85,1881.858092,Borderline,Borderline,OK
86,1882.855936,Serious,Borderline,Serious
87,1883.847049,OK,OK,Serious
88,1894.832439,Serious,Serious,Serious
89,1895.833756,OK,OK,OK
90,1896.837848,OK,OK,Serious
91,1902.834716,OK,OK,Serious
92,1903.838161,OK,Serious,OK
93,1907.843098,Borderline,Borderline,Serious
94,1908.84286,Serious,OK,OK
95,1913.870038,Serious,OK,Serious
96,1914.860671,OK,OK,Serious
97,1918.862828,Serious,OK,OK
98,1919.868152,Borderline,OK,OK
99,1923.868204,OK,OK,OK
100,1924.86609,OK,OK,Serious
101,1925.86318,OK,Borderline,OK
102,1930.855517,OK,OK,OK
103,1931.850205,Serious,Serious,OK
104,1932.844208,OK,OK,OK
105,1935.883443,Borderline,OK,Serious
106,1936.875655,OK,OK,OK
107,1937.871899,Borderline,OK,OK
108,1938.86294,Serious,OK,OK
109,1942.875,Borderline,OK,Serious
110,1943.875344,OK,OK,Serious
111,1944.867858,OK,OK,OK
112,1945.861461,Borderline,OK,OK
113,1951.890295,OK,Serious,Serious
114,1952.881523,OK,OK,Serious
115,1963.88629,OK,Borderline,OK
116,1964.881912,OK,Borderline,OK
117,1965.884869,Serious,Borderline,Serious
118,1975.894141,OK,OK,OK
119,1976.908301,Borderline,OK,Serious
120,1989.867478,OK,OK,Serious
121,1990.865739,Borderline,OK,OK
122,2097.99345,Borderline,OK,Serious
123,2135.953582,Borderline,OK,Serious
124,2170.94965,OK,OK,Serious
